0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Timestamp
-5941.41015625,2040,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.183670
-5941.34765625,2041,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.203248
-5941.28515625,2041,128,2065,7,221,501,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.222826
-5941.22265625,2041,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.242404
-5941.16015625,2040,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.261982
-5941.09765625,2041,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.281560
-5941.03515625,2040,128,2065,7,221,501,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.301138
-5940.59765625,2041,128,2064,7,221,501,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.320716
-5940.53515625,2040,128,2066,7,221,501,0,0,0,170,42,0,0,2,0,0,18,8,00:01:38.340294
-5940.47265625,2040,128,2064,7,221,502,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.359872
-5940.41015625,2041,128,2064,7,221,502,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.379450
-5940.34765625,2040,128,2064,7,221,502,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.399028
-5940.28515625,2040,128,2065,7,221,502,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.418606
-5940.22265625,2041,128,2066,7,221,502,0,0,0,170,42,0,0,2,0,0,18,8,00:01:38.438184
-5940.16015625,2041,128,2065,7,221,502,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.457762
-5940.09765625,2040,128,2065,7,221,502,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.477340
-5940.03515625,2040,128,2064,7,221,502,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.496918
-5939.59765625,2041,128,2065,7,221,502,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.516496
-5939.53515625,2041,128,2065,7,221,502,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.536074
-5939.47265625,2040,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.555652
-5939.41015625,2040,128,2064,7,221,503,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.575230
-5939.34765625,2041,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.594808
-5939.28515625,2041,128,2064,7,221,503,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.614386
-5939.22265625,2041,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.633964
-5939.16015625,2040,128,2064,7,221,503,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.653542
-5939.09765625,2041,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.673120
-5939.03515625,2040,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.692698
-5938.59765625,2042,128,2065,7,221,503,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.712276
-5938.53515625,2040,128,2064,7,221,503,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.731854
-5938.47265625,2041,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.751432
