0,1,2,3,4,5,6,7,8,9,10,Timestamp
664.58984375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:10.903287
665.0078125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:10.954414
665.02734375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.005541
665.0703125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.056668
665.08984375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.107795
665.1328125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.158922
665.15234375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.210049
665.1953125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.261176
665.21484375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.312303
665.2578125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.363430
665.27734375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.414557
665.3203125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.465684
665.33984375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.516811
665.3828125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.567938
665.40234375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.619065
665.4453125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.670192
665.46484375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.721319
665.5078125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.772446
665.52734375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:11.823573
665.5703125,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:11.874700
665.58984375,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:11.925827
768.0078125,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:11.976954
768.02734375,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.028081
